"Table A.1.1.1 Mainline, no wind, AW0, 40kmph KE",,,,,,
,,,,,,
NO.,,CE,,L Side KE,,R Side KE
,Y0,Z0,Y1,Z1,Y2,Z2
1,0,3850,125.9,3846.3,82.2,3857.2
2,50.9,3850,176.8,3845,133.1,3856.4
3,60.4,3800,185,3794.8,141.9,3806.2
4,284.5,3780.7,408.7,3769.8,365.7,3783.5
5,562.6,3718,685.2,3700.2,642.8,3716.5
6,924.4,3593.2,1043.9,3566.3,1002.7,3586.1
7,1211.6,3463.9,1327.9,3429.7,1288,3452.3
8,1392,3357.1,1505.7,3318.4,1466.8,3342.7
9,1483,3228.1,1593.5,3187.1,1555.8,3212.3
10,1524,2082.3,1606.9,2041.8,1579.8,2065.9
10',1524,2082.3,1606.9,1992.1,1579.8,2016.1
11,1524,1742.7,1599,1652.5,1575,1676.5
12,1504.5,1618.7,1576.6,1528.9,1553.7,1552.8
13,1413,1236.9,1476.4,1278.5,1457.1,1234.1
14,1448,1236.9,1508.5,1277.9,1488.9,1255.9
15,1448,1207.9,1507.9,1120.8,1488.5,1142.9
16,1435.9,1205.3,1495.7,1118.5,1476.3,1140.4
17,1372.5,930.9,1429,844.3,1413.8,888.2
18,1372.5,430.6,1417.9,347,1409.2,387.9
19,0,430.6,45.4,376.8,36.7,401.6
,,,,,,
"Figure A.1.1.1 Mainline,no wind,AW0,40kmph Results",,,,,,
,,,,,,
38,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
"A.1.2  Mainline, no wind,AW0,50kmph Results",,,,,,
,,,,,,
"Table A.1.2.1 Mainline,no wind,AW0,50kmph KE",,,,,,
,,,,,,
NO.,,CE,,L Side KE,,R Side KE
,Y0,Z0,Y1,Z1,Y2,Z2
1,0,3850,114.7,3847.7,86.8,3863.8
2,50.9,3850,165.6,3846.7,137.7,3863
3,60.4,3800,174.1,3796.5,146.5,3812.9
4,284.5,3780.7,397.8,3772.5,370.3,3790.1
5,562.6,3718,674.6,3704,647.4,3723.1
6,924.4,3593.2,1033.8,3571.7,1007.3,3592.7
7,1211.6,3463.9,1318.4,3436.4,1292.6,3459
8,1392,3357.1,1496.6,3325.8,1471.4,3349.4
9,1483,3228.1,1584.9,3194.9,1560.4,3223.1
10,1524,2082.3,1602.8,2048.3,1585.2,2076.7
10',1524,2082.3,1602.8,1998.5,1585.2,2026.9
11,1524,1742.7,1596.1,1658.9,1580.5,1687.3
12,1504.5,1618.7,1574.2,1535.3,1559.3,1563.6
13,1413,1236.9,1475.3,1272.5,1462.8,1244.7
14,1448,1236.9,1505.6,1272.2,1492.8,1246
15,1448,1207.9,1505,1126.5,1492.4,1152.7
16,1435.9,1205.3,1492.9,1124.1,1480.3,1150.3
17,1372.5,930.9,1429.1,852.2,1418.4,877.7
18,1372.5,430.6,1419.8,351.9,1412,377.4
19,0,430.6,47.3,378.6,39.5,396
,,,,,,
39,,,,,,
